Station,StationName,StationName2,TimeZone,Longitude,Latitude,Altitude,Longitude2,Latitude2,DMSLongitude,DMSLatitude,Statee,RegManagmt,Catchment,Subcatchment,OperatnlRegion,HydroReg,RH,Municipality,CodeB,CodeG,CodeCB,CodePB,CodeE,CodeCL,CodeHG,CodePG,CodeNw,Code1,Code2,Code3,MaxOrdStrgLvl,MaxOrdStrgVol,MaxExtStrgLvl,MaxExtStrgVol,SpillwayLevel,SpillwayStorage,FreeSpillwayLevel,FreeSpillwayStorage,DeadStrgLevel,DeadStrgCapac,UsableStorageCapLev,UsableStorage,HoldingStorage,Key1fil,Key2fil,Key3fil,CritLevelSta,MinLevelSta,MaxLevelSta,CritFlow,MinDischarge,MaxDischarge,Stream,Distance,Infrastructure,Type,Usee
Presa de Tavera,I-PdT,,,704204,191626,,-70.701,19.27379,-70°42'04'',19°16'26'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Bao,I-PdB,,,704531,191817,,-70.7587,19.3048,-70°45'31'',19°18'17'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa Moncion,I-PMo,,,71817,192322,,-71.1382,19.3897,-71°8'17'',19°23'22'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Rincon,I-PdR,,,702455,19451,,-70.4153,19.081,-70°24'55'',19°4'51'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Hatillo,I-PdH,,,701329,19012,,-70.2249,19.0034,-70°13'29'',19°0'12'' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Jiguey,I-PdJ,,,702245,183334,,-70.3793,18.5596,-70°22'45'',18°33'34'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa Valdesia,I-PV,,,701523,182430,,-70.2566,18.4084,-70°15'23'',18°24'30'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Saban Yegua,I-PdSY,,,71206,184316,,-71.0351,18.7213,-71°2'06'',18°43'16'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Sabaneta,I-PdS,,,711731,1901,,-71.2922,19.0005,-71°17'31'',19°0'1'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa de Rio Blanco,I-PdRB,,,654638,181322,,-65.777389,18.222842,-65°46'38'',18°13'22'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa Pinalito,I-PP,,,703749,185455,,-70.630291,18.915325,-70°37'49'',18°54'55'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa Maguaca,I-PMg,,,713019,193630,,-71.5055,19.6086,-71°30'19'',19°36'30'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa Chacuey,I-PC,,,713019,193629,,-71.5501,19.6083,-71°30'19'',19°36'29'' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presa Lopez Angostura,I-PL,,,704340,191956,,-70.72791,19.332213,-70°43'40'',19°19'56'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
